title,year,awards,nominations,best_picture
The King's Speech,2010,4,12,True
Inception,2010,4,8,False
The Social Network,2010,3,8,False
The Fighter,2010,2,7,False
Toy Story 3,2010,2,5,False
Alice in Wonderland,2010,2,3,False
Black Swan,2010,1,5,False
In a Better World,2010,1,1,False
The Lost Thing,2010,1,1,False
God of Love,2010,1,1,False
The Wolfman,2010,1,1,False
Strangers No More,2010,1,1,False
Inside Job,2010,1,1,False
The Artist,2011,5,10,True
Hugo,2011,5,11,False
The Iron Lady,2011,2,2,False
The Descendants,2011,1,5,False
The Girl with the Dragon Tattoo,2011,1,5,False
Midnight in Paris,2011,1,4,False
The Help,2011,1,4,False
A Separation,2011,1,2,False
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1,False
The Shore,2011,1,1,False
Undefeated,2011,1,1,False
The Muppets,2011,1,1,False
Saving Face,2011,1,1,False
Beginners,2011,1,1,False
Rango,2011,1,1,False
Argo,2012,3,7,True
Life of Pi,2012,4,11,False
Les Misérables,2012,3,8,False
Lincoln,2012,2,12,False
Django Unchained,2012,2,5,False
Skyfall,2012,2,5,False
Silver Linings Playbook,2012,1,8,False
Zero Dark Thirty,2012,1,5,False
Amour,2012,1,5,False
Anna Karenina,2012,1,4,False
Paperman,2012,1,1,False
Brave,2012,1,1,False
Searching for Sugar Man,2012,1,1,False
Inocente,2012,1,1,False
Curfew,2012,1,1,False
12 Years a Slave,2013,3,9,True
Gravity,2013,7,10,False
Dallas Buyers Club,2013,3,6,False
Frozen,2013,2,2,False
The Great Gatsby,2013,2,2,False
Her,2013,1,5,False
Blue Jasmine,2013,1,3,False
Mr Hublot,2013,1,1,False
The Lady in Number 6: Music Saved My Life,2013,1,1,False
Helium,2013,1,1,False
The Great Beauty,2013,1,1,False
20 Feet from Stardom,2013,1,1,False
Birdman,2014,4,9,True
The Grand Budapest Hotel,2014,4,9,False
Whiplash,2014,3,5,False
The Imitation Game,2014,1,8,False
American Sniper,2014,1,6,False
Boyhood,2014,1,6,False
Interstellar,2014,1,5,False
The Theory of Everything,2014,1,5,False
Ida,2014,1,2,False
Selma,2014,1,2,False
Citizenfour,2014,1,1,False
Big Hero 6,2014,1,1,False
Crisis Hotline: Veterans Press 1,2014,1,1,False
The Phone Call,2014,1,1,False
Still Alice,2014,1,1,False
Feast,2014,1,1,False
Spotlight  ,2015,2,6,True
Mad Max: Fury Road ,2015,6,10,False
The Revenant   ,2015,3,12,False
Bridge of Spies,2015,1,6,False
The Big Short  ,2015,1,5,False
The Danish Girl,2015,1,4,False
Room   ,2015,1,4,False
Ex Machina ,2015,1,2,False
The Hateful Eight  ,2015,1,2,False
Inside Out ,2015,1,2,False
Amy,2015,1,1,False
Bear Story ,2015,1,1,False
A Girl in the River: The Price of Forgiveness  ,2015,1,1,False
Son of Saul,2015,1,1,False
Spectre,2015,1,1,False
Stutterer  ,2015,1,1,False
